Time_s,Raw_EMG,Envelope_EMG,label
0.0003,-26.0,240.0,0
0.0004,10.0,238.0,0
0.0006,-14.0,234.0,0
0.0007,6.0,232.0,0
0.0008,97.0,230.0,0
0.001,2.0,226.0,0
0.0012,-156.0,226.0,0
0.0014,-41.0,224.0,0
0.0016,117.0,226.0,0
0.0018,30.0,224.0,0
0.0019,-12.0,224.0,0
0.002,55.0,224.0,0
0.0022,-51.0,224.0,0
0.0023,-126.0,224.0,0
0.0025,31.0,222.0,0
0.0026,89.0,224.0,0
0.0027,-6.0,220.0,0
0.0028,30.0,220.0,0
0.003,48.0,216.0,0
0.0033,-110.0,216.0,0
0.0035,-106.0,214.0,0
0.0037,105.0,214.0,0
0.0038,101.0,214.0,0
0.004,-88.0,214.0,0
0.0042,-69.0,216.0,0
0.0044,74.0,216.0,0
0.0046,66.0,216.0,0
0.0047,4.0,216.0,0
0.005,-42.0,214.0,0
0.0052,-144.0,216.0,0
0.0054,-55.0,212.0,0
0.0055,249.0,216.0,0
0.0057,161.0,216.0,0
0.0058,-241.0,218.0,0
0.006,-142.0,220.0,0
0.0061,139.0,222.0,0
0.0063,-34.0,222.0,0
0.0064,-50.0,220.0,0
0.0066,237.0,222.0,0
0.0067,56.0,220.0,0
0.0069,-306.0,224.0,0
0.007,-117.0,224.0,0
0.0072,224.0,226.0,0
0.0073,130.0,226.0,0
0.0075,-105.0,226.0,0
0.0076,-58.0,226.0,0
0.0077,51.0,224.0,0
0.0079,-32.0,222.0,0
0.008,-67.0,224.0,0
0.0081,67.0,224.0,0
0.0083,85.0,224.0,0
0.0084,-47.0,224.0,0
0.0087,-53.0,224.0,0
0.009,45.0,220.0,0
0.0092,-15.0,218.0,0
0.0094,-87.0,216.0,0
0.0096,70.0,212.0,0
0.0098,105.0,210.0,0
0.0104,-94.0,206.0,0
0.0106,-38.0,206.0,0
0.0108,112.0,202.0,0
0.0111,-62.0,204.0,0
0.0114,-103.0,202.0,0
0.0116,120.0,204.0,0
0.0119,16.0,204.0,0
0.0122,-145.0,204.0,0
0.0124,115.0,204.0,0
0.0126,179.0,206.0,0
0.0127,-173.0,206.0,0
0.0129,-188.0,208.0,0
0.013,107.0,206.0,0
0.0132,108.0,206.0,0
0.0133,-10.0,204.0,0
0.0134,27.0,204.0,0
0.0136,-5.0,202.0,0
0.0137,-96.0,202.0,0
0.0139,-30.0,202.0,0
0.014,50.0,200.0,0
0.0141,7.0,198.0,0
0.0142,21.0,196.0,0
0.0144,72.0,196.0,0
0.0145,-36.0,196.0,0
0.0147,-122.0,196.0,0
0.0149,18.0,196.0,0
0.0151,124.0,194.0,0
0.0154,9.0,192.0,0
0.0156,-110.0,190.0,0
0.0158,-90.0,188.0,0
0.016,48.0,188.0,0
0.0162,231.0,188.0,0
0.0163,103.0,188.0,0
0.0165,-329.0,190.0,0
0.0167,-274.0,194.0,0
0.0168,306.0,196.0,0
0.0169,340.0,200.0,0
0.0171,-198.0,200.0,0
0.0173,-275.0,204.0,0
0.0174,79.0,202.0,0
0.0176,166.0,204.0,0
0.0177,14.0,202.0,0
0.0178,-101.0,200.0,0
0.018,-82.0,198.0,0
0.0181,77.0,196.0,0
0.0183,130.0,194.0,0
0.0184,-39.0,194.0,0
0.0186,-141.0,192.0,0
0.0187,-37.0,192.0,0
0.0188,93.0,194.0,0
0.019,98.0,194.0,0
0.0191,-8.0,192.0,0
0.0192,-59.0,190.0,0
0.0194,-46.0,190.0,0
0.0195,-93.0,186.0,0
0.0196,23.0,186.0,0
0.0198,260.0,186.0,0
0.02,50.0,184.0,0
0.0201,-313.0,188.0,0
0.0204,-97.0,186.0,0
0.0205,207.0,190.0,0
0.0206,58.0,190.0,0
0.0208,-19.0,190.0,0
0.021,29.0,188.0,0
0.0213,-134.0,190.0,0
0.0215,-67.0,188.0,0
0.0217,193.0,190.0,0
0.0219,-6.0,188.0,0
0.0221,-179.0,192.0,0
0.0223,168.0,194.0,0
0.0226,169.0,196.0,0
0.0228,-312.0,200.0,0
0.023,-197.0,204.0,0
0.0232,331.0,208.0,0
0.0233,189.0,210.0,0
0.0235,-240.0,214.0,0
0.0236,-80.0,212.0,0
0.0238,161.0,214.0,0
0.0239,-76.0,214.0,0
0.0241,-167.0,216.0,0
0.0242,161.0,218.0,0
0.0244,201.0,220.0,0
0.0245,-131.0,222.0,0
0.0247,-168.0,222.0,0
0.0248,58.0,222.0,0
0.0249,52.0,222.0,0
0.0251,-24.0,222.0,0
0.0252,68.0,222.0,0
0.0254,25.0,222.0,0
0.0256,-124.0,222.0,0
0.0257,-13.0,222.0,0
0.0259,125.0,222.0,0
0.0261,-33.0,220.0,0
0.0264,-124.0,222.0,0
0.0265,85.0,222.0,0
0.0267,131.0,222.0,0
0.0268,-99.0,222.0,0
0.0273,-102.0,224.0,0
0.0276,64.0,224.0,0
0.0278,14.0,222.0,0
0.0279,-34.0,222.0,0
0.0281,86.0,220.0,0
0.0282,62.0,218.0,0
0.0284,-134.0,216.0,0
0.0286,-123.0,216.0,0
0.0287,117.0,216.0,0
0.0289,145.0,218.0,0
0.029,-72.0,218.0,0
0.0292,-100.0,216.0,0
0.0294,39.0,216.0,0
0.0295,31.0,212.0,0
0.0297,-30.0,210.0,0
0.0299,14.0,206.0,0
0.0301,18.0,204.0,0
0.0306,-37.0,204.0,0
0.0308,15.0,204.0,0
0.0309,58.0,204.0,0
0.0311,-41.0,204.0,0
0.0312,-77.0,204.0,0
0.0314,18.0,202.0,0
0.0315,79.0,202.0,0
0.0316,46.0,202.0,0
0.0318,-51.0,202.0,0
0.0319,-91.0,204.0,0
0.032,0.0,204.0,0
0.0322,72.0,202.0,0
0.0324,37.0,202.0,0
0.0326,-12.0,200.0,0
0.0327,-31.0,200.0,0
0.0329,-21.0,200.0,0
0.0332,-6.0,198.0,0
0.0335,-15.0,198.0,0
0.0344,41.0,196.0,0
0.0346,94.0,196.0,0
0.0348,-59.0,196.0,0
0.035,-144.0,196.0,0
0.0351,80.0,196.0,0
0.0353,137.0,196.0,0
0.0356,-134.0,194.0,0
0.0357,-129.0,194.0,0
0.0359,194.0,196.0,0
0.0361,192.0,196.0,0
0.0362,-159.0,198.0,0
0.0364,-286.0,202.0,0
0.0365,-10.0,202.0,0
0.0367,267.0,206.0,0
0.0368,191.0,208.0,0
0.037,-93.0,208.0,0
0.0371,-212.0,212.0,0
0.0373,-67.0,212.0,0
0.0374,73.0,212.0,0
0.0375,60.0,214.0,0
0.0377,51.0,212.0,0
0.0378,29.0,212.0,0
0.0379,-58.0,212.0,0
0.0381,-18.0,212.0,0
0.0382,38.0,210.0,0
0.0384,-107.0,210.0,0
0.0385,-88.0,212.0,0
0.0386,210.0,210.0,0
0.0388,153.0,212.0,0
0.0389,-230.0,210.0,0
0.0392,-148.0,208.0,0
